file_name,uni,wylie,url,dept,grade,char_len,audio_len,path,inf
STT_CS-L-2015_2012-P_P-D_D-B02_B03-3_3-R_R-01_0090_647738_to_650298,བརྙད་མ་གཙེས་དང་། རྒན་ལགས་སྒོ་ཕྱེ་གི་མིན་འདུག ,brnyad ma gtses dang /_rgan lags sgo phye gi min 'dug_,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_CS-L-2015_2012-P_P-D_D-B02_B03-3_3-R_R-01_0090_647738_to_650298.wav,STT_CS,3,45,2.56,wav16k/STT_CS-L-2015_2012-P_P-D_D-B02_B03-3_3-R_R-01_0090_647738_to_650298.wav,ཨེའདྲའི་མ། རྒན་ལགས་སྒོ་ཕྱེ་ཡི་མི་འདུག
STT_CS-L-2017_2016-P_P-D_D-B01_B02-01_01-R_R-01_0076_532107_to_538319,གཅིག་ཚར་སོང་། ཚར་སོང་འགྲོ རྫུན་མ་ལབ་ཡིན།  ,gcig tshar song /_tshar song 'gro_rdzun ma lab yin/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_CS-L-2017_2016-P_P-D_D-B01_B02-01_01-R_R-01_0076_532107_to_538319.wav,STT_CS,3,42,6.212,wav16k/STT_CS-L-2017_2016-P_P-D_D-B01_B02-01_01-R_R-01_0076_532107_to_538319.wav,མིག་ཚར་སོང་། ཚར་སོང་འགྲོ དི་ང་ལ་ཡིན།
STT_CS-L-2017_2017-M_M-D_D-B01_B01-1_1-R_R-02_0005_44513_to_48063,འདི། འདི་རུ་རང་བསྡད་དགོས།  ,'di/_'di ru rang bsdad dgos/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_CS-L-2017_2017-M_M-D_D-B01_B01-1_1-R_R-02_0005_44513_to_48063.wav,STT_CS,3,27,3.55,wav16k/STT_CS-L-2017_2017-M_M-D_D-B01_B01-1_1-R_R-02_0005_44513_to_48063.wav,འདི་འདི་རང་བསྡད་དགོས།
STT_CS-X-2018-M-D-B04-1-R-01_0026_218715_to_220863,རྐུན་མ་སེམས་པ་བཟང་པོ་དཔེ་ཆགས་སོང་ལབ་རེད་ད།  ,rkun ma sems pa bzang po dpe chags song lab red da/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_CS-X-2018-M-D-B04-1-R-01_0026_218715_to_220863.wav,STT_CS,3,44,2.148,wav16k/STT_CS-X-2018-M-D-B04-1-R-01_0026_218715_to_220863.wav,རྐུན་མ་སེམས་པ་བཟང་པོ་དཔེ་ཆགས་སོང་ལབ་རེད་ད།
STT_CS-L-2016_2017-M_P-D_D-B03_B05-2_2-R_R-01_0165_1213216_to_1219257,གཅིག་བྱས་ན་ཁྱོད་ཌི་འགྲོ་ཡི་རེད། གཅིག་བྱས་ན་བྷི་ལ་འགྲོ་ཡི་རེད། གཅིག་བྱས་ན་གཅིག་ལ་འགྲོ་ཡི་རེད། མ་རེད་ད། མི་འདུག་བསམས་སོང་ད། ཨུ་ཋོ་ནང་ལོགས་ལ། མི་ཁོ་རང་མི་འདུག ,gcig byas na khyod Di 'gro yi red/_gcig byas na b+hi la 'gro yi red/_gcig byas na gcig la 'gro yi red/_ma red da/_mi 'dug bsams song da/_u Tho nang logs la/_mi kho rang mi 'dug_,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_CS-L-2016_2017-M_P-D_D-B03_B05-2_2-R_R-01_0165_1213216_to_1219257.wav,STT_CS,3,156,6.041,wav16k/STT_CS-L-2016_2017-M_P-D_D-B03_B05-2_2-R_R-01_0165_1213216_to_1219257.wav,གཅིག་བྱས་ན་ཁྱོད་འགྲི་འགྲོ་ཡི་རེད། གཅིག་བྱས་ན་བི་འགྲོ་ཡི་རེད། གཅིག་བྱས་ན་གཅིག་ལ་འགྲོ་ཡི་རེད། ང་ད་མི་འདུག་བསམ་སོང་ད་ཨོ་ཋྀ་ཡང་གཉིས་ཁོ་རང་མི་འདུག
STT_TT00628_0398_3397976_to_3400120,དེ་ནས་འཇིག་རྟེན་པའི་ལྷ་ཚོགས་ལ་སོགས་པ་དེ་ཚོ་གང་གས།  ,de nas 'jig rten pa'i lha tshogs la sogs pa de tsho gang gas/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00628_0398_3397976_to_3400120.wav,STT_TT,3,51,2.144,wav16k/STT_TT00628_0398_3397976_to_3400120.wav,དེ་ནས་འཇིག་རྟེན་པའི་ལྷ་ཚོགས་ལ་སོགས་པ་དེ་ཚོ་གང་གས་
STT_TT00278_310.750-311.400,ཕར་ཕྱོགས་ཀི་ཡུལ་ ,phar phyogs ki yul _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00278_310.750-311.400.wav,STT_TT,3,17,0.6499999999999773,wav16k/STT_TT00278_310.750-311.400.wav,ཕར་ཕྱོགས་ཀི་ཡུལ་
STT_TT00272_95.650-96.450,ད་ཁོ་ཟེར་ཡ་དེ་མི་འདུག་ག་ཟེ།  ,da kho zer ya de mi 'dug ga ze/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00272_95.650-96.450.wav,STT_TT,3,29,0.7999999999999972,wav16k/STT_TT00272_95.650-96.450.wav,ད་ཁོ་ཟེར་ཡ་མི་འདུག་ག་ཟེ།
STT_TT00529_0362_2309308_to_2312252,འོ། དེ་ལ་དམིགས་པ་གཏད་ནས། ཨེ་ནས། སྒོམ་དགོས་རེད་ཟེ། ཁོ་རྡོར་བཟླས་གི་ད།  ,'o/_de la dmigs pa gtad nas/_e nas/_sgom dgos red ze/_kho rdor bzlas gi da/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00529_0362_2309308_to_2312252.wav,STT_TT,3,70,2.944,wav16k/STT_TT00529_0362_2309308_to_2312252.wav,ཨོ་དེ་ལ་དམིགས་པ་གཏད་ནས། ཨེ་ནས་སྒོམ་དགོས་རེད་ཟེ། ཁོ་རྡོར་བཟླས་ཀི་ད།
STT_CS-L-2011_2010-P_P-D_D-B04_B04-5_5-R_R-01_0031_310418_to_318438,ག་རེ་བྱས་ནས། ཁྱོད། ཁྱོད་ལོ་ཋིརི་ཨེ་འདྲའི་བཞག་དང་ཤོས་རཱ། ཨེ་ནས་ཁྱོད་ཕར་ལ་སྒུག་བསྡད་རཱ། ང་འདི་ཉོ་ནས་བསླེབ་དགོས། མགྱོགས། མགྱོགས་པོ་མགྱོགས་པོ། རོ་ཊི་འཁྱེར་ནས་ཡར་འགྲོ བྷོག་རས་ངའི་འགྲམ་ལ་ཡོད་ ,ga re byas nas/_khyod/_khyod lo Thiri e 'dra'i bzhag dang shos rA/_e nas khyod phar la sgug bsdad rA/_nga 'di nyo nas bsleb dgos/_mgyogs/_mgyogs po mgyogs po/_ro Ti 'khyer nas yar 'gro_b+hog ras nga'i 'gram la yod _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_CS-L-2011_2010-P_P-D_D-B04_B04-5_5-R_R-01_0031_310418_to_318438.wav,STT_CS,3,186,8.02,wav16k/STT_CS-L-2011_2010-P_P-D_D-B04_B04-5_5-R_R-01_0031_310418_to_318438.wav,ག་རེ་བྱས་ནས་ ཁྱོད། ཁྱོད་ལོ་ཋྀརེ་མི་འདུག་གེ བཞག་ནང་ཤོས་རཱ། ཨ་ནས་ཁྱོད་ཕར་ལ་སྒུག་བསྡད་རཱ། ང་འདི་ཉོས་ནས་ལོ་དགོས། མགྱོས མགྱོགས་པོ་མགྱོགས་པོརོ་ཋི་དཀེ་ནས་ར རབོགས་རིས་ང་རང་འགྲམ་།
